Description,Features,Image_urls,Images,Price,Product_Brand,Product_ID,Product_Model,Product_Name,Rating
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>GSM Trail Hawk No Glow Kit Game Camera</b> takes great color images in daylight, and black and white images at night with a 36 LED NoGlo IR flash that reaches 70 feet.  The Trail Hawk trail camera captures game activity through clear photos, and HD Video recording with audio.  The Stealth Cam Trail Hawk Game Camera has a 1-second trigger with burst mode that takes 1-3 images per triggering.<br><br>GSM Trail Hawk No Glow Kit Game Camera offers:<ul><li>70ft No Glo range</li><li>36 No Glo IR Emitters</li><li>Quick Set Program Setting</li><li>Burst Mode 1-3 images per triggering</li><li>5 -120 Sec recovery time out</li><li>Time / Date / Moon Phase</li><li>SD Card slot up to 32GB <b>(8GB Included)</b></li><li>Integrated Python lock latch</li><li>Operates on 8 AA batteries <b>(Included)</b></li></ul><b>Features:</b><ul><li><b>Model:</b> GSMSTCTH36NGK</li><li><b>Color:</b> Grey</li><li><b>HD Video:</b> 720p</li><li><b>MegaPixels:</b> 20</li><li><b>Video Recording:</b> 5,15,30 seconds</li><li><b>Trigger Speed:</b> 6 seconds</li><li><b>Weight:</b> 1.5 lbs.</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>70ft No Glo range</li><li>36 No Glo IR Emitters</li><li>Quick Set Program Setting</li><li>Burst Mode 1-3 images per triggering</li><li>5 -120 Sec recovery time out</li><li>Time / Date / Moon Phase</li><li>SD Card slot up to 32GB <b>(8GB Included)</b></li><li>Integrated Python lock latch</li><li>Operates on 8 AA batteries <b>(Included)</b></li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/334907/73535/apilvfwsd__59135.1561049085.jpg?c=2&imbypass=on,,$99.99,Hawk,443054,NA,"Hawk Ind Pardner Pump, 20GA, 21"" BBL,Matte, GTO332890,  ~",NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Wildgame Innovations Titan Extreme Lightsout 8MP Trail Camera Bundle</b> comes with everything you need to get started; the Wildgame Innovations Titan Extreme Lightsout 8MP Trail Camera, 8 AA batteries, 8GB memory card, and 2 bungee cords for mounting.<br><br><b>Features:</b><ul><li><b>Model:</b> TR8B1SI29</li><li><b>Image Resolution:</b> 8 MP</li><li><b>Video Resolution:</b> HD 720p</li><li><b>Sensor:</b> Up to 60 feet - Passive infrared (PIR) sensor</li><li><b>Image Format:</b> JPEG - Digital stills/AVI - Digital video</li><li><b>Aspect Ratio:</b> Wide angle 16:9</li><li><b>Illumination Range:</b> 65 feet</li><li><b>Trigger Speed:</b> Less than 3/4 second</li><li><b>Memory:</b> Up to 32 GB SD card (8 GB card included - CLass 4 or above recommended)</li><li><b>Batteries:</b> 8 AA batteries (included)</li><li><b>Battery Life:</b> Up to 1 year or 30,000 photos (Depending on usage and environment)</li><li><b>Mounting:</b> Bungee cords (Included)</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li><b>Model:</b> TR8B1SI29</li><li><b>Image Resolution:</b> 8 MP</li><li><b>Video Resolution:</b> HD 720p</li><li><b>Sensor:</b> Up to 60 feet - Passive infrared (PIR) sensor</li><li><b>Image Format:</b> JPEG - Digital stills/AVI - Digital video</li><li><b>Aspect Ratio:</b> Wide angle 16:9</li><li><b>Illumination Range:</b> 65 feet</li><li><b>Trigger Speed:</b> Less than 3/4 second</li><li><b>Memory:</b> Up to 32 GB SD card (8 GB card included - CLass 4 or above recommended)</li><li><b>Batteries:</b> 8 AA batteries (included)</li><li><b>Battery Life:</b> Up to 1 year or 30,000 photos (Depending on usage and environment)</li><li><b>Mounting:</b> Bungee cords (Included)</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/443769/295479/apiygu9iw__74814.1569621944.jpg?c=2&imbypass=on,,$49.99,Wildgame Innovations,336190,NA,Wildgame Innovations 360 CAM Lights Out Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Cuddeback Cuddelink Black Flash J Series Camera</b> is a great 20 megapixel scouting camera that will offer you success on your hunt. Blends in brilliantly with your surroundings and makes checking your cameras so much easier! Can be connected with multiple other trail cameras using the CuddeLink wireless camera-to-camera network. The image collection camera is the HOME camera, and the transmitting cameras are the REMOTE cameras. Up to 15 Remote CuddeLink cameras can send images to 1 Home camera. These cameras can be deployed over hundreds or thousands of acres while still being transferred. The Cuddelink Back Flash Camera allows you to check your trail cameras more frequently without disturbing your hunt! <br><br>These Cameras Offer:<ul><li>Compatible with all CuddeLink cameras</li><li>Burst mode, time lapse, video, and both day and night settings available</li><li>Invisible Black Flash with a 50-foot range</li><li>20 megapixels</li><li>High end image sensor</li><li>Full feature user interface</li></ul><b>Features: </b><ul><li><b>Model: </b>NONJ1422</li><li><b>Quantity: </b>1</li><li><b>Battery Life: </b>Up to 6 months or 10,000 images</li><li><b>Trigger Speed: </b>0.25-second</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>Compatible with all CuddeLink cameras</li><li>Burst mode, time lapse, video, and both day and night settings available</li><li>Invisible Black Flash with a 50-foot range</li><li>20 megapixels</li><li>High end image sensor</li><li>Full feature user interface</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/326806/82678/api0qic7w__22681.1561062823.jpg?c=2&imbypass=on,,$199.99,Cuddeback,333475,NA,Cuddeback Cuddelink Back Flash J Series Cameras 4/pk,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>SPYPOINT FORCE-10 Game Camera</b> captures 10 megapixel photos or HD video in color by day &amp; black-and-white by night. The camera uses 42 high-power low-glow LEDs to offer the best night time images. It is the perfect camera to avoid disturbing or spooking your game. The curved motion sensor lens improves the detection angle and distance of its 5 detection zones. The detection range can also be adjusted from 5' to 80'. The camera has an incredible battery life when powered by 6 AA batteries and even longer when using the rechargeable lithium battery pack (sold separately).<br><br>The FORCE-10 Game Camera offers:<ul><li>42 high-power low glow LEDs</li><li>Takes up to 6 pictures per detection</li><li>Infrared boost technology</li><li>Requires an SD/SDHC card up to 32 GB (not included)</li><li>Detects movement up to 80 ft away</li></ul><br><b>Features:</b><ul><li><b>Model:</b> FORCE-10</li><li><b>Photo Quality:</b> 10 MP</li><li><b>Video Quality:</b> 720p HD</li><li><b>Flash Range:</b> 90 ft</li><li><b>Trigger Speed:</b> 0.3 seconds</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>42 high-power low glow LEDs</li><li>Takes up to 6 pictures per detection</li><li>Infrared boost technology</li><li>Requires an SD/SDHC card up to 32 GB (not included)</li><li>Detects movement up to 80 ft away</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/332292/86908/apix0jxcp__23845.1561065917.jpg?c=2&imbypass=on,,$99.99,SPYPOINT,446407,NA,SPYPOINT LINK-MICRO Cellular Trail Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Wildgame Innovations 360 CAM Lights Out Camera</b> revolutionizes images by turning the traditional scouting camera model on its head or better yet more accurately, that it turns in every direction.  The unique swivel design moves the camera to wherever the action is so you get a full 360 degree view of the space.  The flash packs 65 feet of illumination range. <br><br>Wildgame Innovations 360 CAM Lights Out Camera offers:<ul><li>Camera Unit</li><li>T-Post Mounting Bracket System</li><li>Adjustable Mounting Strap</li><li>Flextime Software CD</li></ul><b>Features:</b><ul><li><b>Model:</b> EVOFGWDGC00455</li><li><b>MegaPixels:</b> 12</li><li><b>Color:</b> Trubark HD</li><li><b>Video Resolution:</b> 720p HD</li><li><b>Illumination Type:</b> 42-Piece Invisible Infrared LEDs</li><li><b>Illumination Range:</b> 65 ft.</li><li><b>Trigger Speed:</b> 1.5 seconds</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Camera Unit</li><li>T-Post Mounting Bracket System</li><li>Adjustable Mounting Strap</li><li>Flextime Software CD</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/336190/73861/api4i1lez__73769.1561049401.jpg?c=2&imbypass=on,,$199.99,Wildgame Innovations,443769,NA,Wildgame Innovations Titan Extreme Lightsout 8MP Trail Camera Bundle,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Tactacam Solo Hunter Package</b> was made for hunters and outdoorsmen using the best electronics. It is compatible with the Tactacam App which allows you to turn it on and off, view photos and videos and transfer them to your device. It is easy to use with a 1 touch operation with vibration indication.<br><br><b>Features:</b><ul><li><b>Model:</b> Ta-SW-HP</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> Ta-SW-HP</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446487/299963/TATTASWHP__43266.1573512163.jpg?c=2&imbypass=on,,$219.99,Tactacam,446473,NA,Tactacam Under Scope Rail Mount,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Tactacam Long Range Shooter Package</b> features both the 5.0 Wide Lens Camera and an FTS mount. With this package, it couldn't be easier to capture all of the hunting action in high-definition clarity.<br><br>The Tactacam Long Range Shooter Package features:<ul><li> Ultra Sharp Lens optimized for Bow, Crossbow and Gun</li><li> Weatherproof - Built to withstand the toughest conditions</li><li> 1 Touch Power on Auto-Record with Vibration Indication</li><li> Rechargeable cold weather lithium battery that provides up to 2.5 hours of record time</li><li> 8x closer than the leading competitor</li><li> Remote Sync Compatible-Controls multiple cameras with the push of a button from distances of 100 feet</li></ul><br><br><b>Features:</b><ul><li><b>Model:</b> TA-5-FTS</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li> Ultra Sharp Lens optimized for Bow, Crossbow and Gun</li><li> Weatherproof - Built to withstand the toughest conditions</li><li> 1 Touch Power on Auto-Record with Vibration Indication</li><li> Rechargeable cold weather lithium battery that provides up to 2.5 hours of record time</li><li> 8x closer than the leading competitor</li><li> Remote Sync Compatible-Controls multiple cameras with the push of a button from distances of 100 feet</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446461/299938/TATTA5FTS__10236.1573512123.jpg?c=2&imbypass=on,,$529.99,Tactacam,446473,NA,Tactacam Under Scope Rail Mount,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Tactacam 5.0</b> brings your hunt closer than ever. The 5.0 allows you to capture crystal clear footage in 4k and also stream your hunt live. With a new and improved 8x zoom, the Tactacam 5.0 is the best hunting action camera on the market.<br><br><b>Features:</b><ul><li><b>Model:</b> TA-5-GUN</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> TA-5-GUN</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446458/299935/TATTA5BOW__97156.1573512119.jpg?c=2&imbypass=on,,$429.99,Tactacam,446464,NA,Tactacam 5.0 Bow Mount,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Tactacam 5.0</b> brings your hunt closer than ever. The 5.0 allows you to capture crystal clear footage in 4k and also stream your hunt live. With a new and improved 8x zoom, the Tactacam 5.0 is the best hunting action camera on the market.<br><br><b>Features:</b><ul><li><b>Model:</b> TA-5-BOW</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> TA-5-BOW</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446464/299941/TATTA5BOW__44035.1573512127.jpg?c=2&imbypass=on,,$429.99,Tactacam,446468,NA,Tactacam 4.0 Gun Mount,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Tactacam 4.0</b> can be attached to your bow, firearm or crossbow. Simply push the power on button to start recording and push it again to stop recording. The Tactacam 4.0 is easy-to-use and doesn't interfere with your hunt.<br><br><b>Features:</b><ul><li><b>Model:</b> TA-4-GUN</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> TA-4-GUN</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446468/299945/TATTA4BOW__43089.1573512131.jpg?c=2&imbypass=on,,$329.99,Tactacam,446464,NA,Tactacam 5.0 Bow Mount,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Tactacam 4.0</b> can be attached to your bow, firearm or crossbow. Simply push the power on button to start recording and push it again to stop recording. The Tactacam 4.0 is easy-to-use and doesn't interfere with your hunt.<br><br><b>Features:</b><ul><li><b>Model:</b> TA-4-BOW</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> TA-4-BOW</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446470/299947/TATTA4BOW__27088.1573512134.jpg?c=2&imbypass=on,,$329.99,Tactacam,446464,NA,Tactacam 5.0 Bow Mount,NA
